StationID,ExitID,Stair,Escalator,Elevator,StationName_Zh_tw,StationName_En,ExitName_Zh_tw,ExitName_En,ExitPosition_PositionLon,ExitPosition_PositionLat,ExitPosition_GeoHash,VersionID,station_join_key
BL01,1,True,2,True,頂埔,Dingpu,頂埔站出口1,Dingpu Exit 1,121.418218,24.959306,wsqmfzwn3,3,頂埔
BL01,2,True,2,False,頂埔,Dingpu,頂埔站出口2,Dingpu Exit 2,121.419,24.95931,wsqmfzwwe,3,頂埔
BL01,3,True,1,True,頂埔,Dingpu,頂埔站出口3,Dingpu Exit 3,121.4196,24.95962,wsqmfzz03,3,頂埔
BL01,4,True,0,True,頂埔,Dingpu,頂埔站出口4,Dingpu Exit 4,121.4201,24.96039,wsqmfzzkv,3,頂埔
BL02,1,True,1,True,永寧,Yongning,永寧站出口1,Yongning Exit 1,121.435254,24.966714,wsqq5343w,3,永寧
BL02,2,True,2,True,永寧,Yongning,永寧站出口2,Yongning Exit 2,121.43568,24.966102,wsqq52fy0,3,永寧
BL02,3,False,1,False,永寧,Yongning,永寧站出口3,Yongning Exit 3,121.436799,24.966947,wsqq535e4,3,永寧
BL02,4,True,2,False,永寧,Yongning,永寧站出口4,Yongning Exit 4,121.436412,24.967191,wsqq535k3,3,永寧
BL03,1,True,2,True,土城,Tucheng,土城站出口1,Tucheng Exit 1,121.444173,24.973251,wsqq5d0zw,3,土城
BL03,2,True,2,False,土城,Tucheng,土城站出口2,Tucheng Exit 2,121.443671,24.972663,wsqq5d0s6,3,土城
BL03,3,True,0,False,土城,Tucheng,土城站出口3,Tucheng Exit 3,121.445266,24.973714,wsqq5d3dr,3,土城
BL04,1,True,2,False,海山,Haishan,海山站出口1,Haishan Exit 1,121.448615,24.985375,wsqq5sknm,3,海山
BL04,2,True,3,True,海山,Haishan,海山站出口2,Haishan Exit 2,121.448956,24.985329,wsqq5skqj,3,海山
BL04,3,True,2,False,海山,Haishan,海山站出口3,Haishan Exit 3,121.449127,24.98609,wsqq5ssd9,3,海山
BL05,1,True,2,False,亞東醫院,Far Eastern Hospital,亞東醫院站出口1,Far Eastern Hospital Exit 1,121.452581,24.998933,wsqq5wzj6,3,亞東醫院
BL05,2,False,1,False,亞東醫院,Far Eastern Hospital,亞東醫院站出口2,Far Eastern Hospital Exit 2,121.452388,24.998252,wsqq5wycm,3,亞東醫院
BL05,3,True,1,True,亞東醫院,Far Eastern Hospital,亞東醫院站出口3,Far Eastern Hospital Exit 3,121.45287,24.998875,wsqq5wzm0,3,亞東醫院
BL06,1,True,1,True,府中,Fuzhong,府中站出口1,Fuzhong Exit 1,121.459077,25.008486,wsqq7beuc,3,府中
BL06,2,True,1,False,府中,Fuzhong,府中站出口2,Fuzhong Exit 2,121.459501,25.008943,wsqq7bspe,3,府中
BL06,3,True,0,False,府中,Fuzhong,府中站出口3,Fuzhong Exit 3,121.45897,25.009162,wsqq7bg8z,3,府中
BL07,1,True,1,False,板橋,Banqiao,板橋站出口1,Banqiao Exit 1,121.461754,25.013416,wsqq7ctc8,3,BL板橋
BL07,2,True,1,False,板橋,Banqiao,板橋站出口2,Banqiao Exit 2,121.462483,25.013192,wsqq7cw22,3,BL板橋
BL07,3,True,1,True,板橋,Banqiao,板橋站出口3,Banqiao Exit 3,121.462589,25.014554,wsqq7cy27,3,BL板橋
BL08,1,True,1,False,新埔,Xinpu,新埔站出口1,Xinpu Exit 1,121.467457,25.023063,wsqqk53cu,3,新埔
BL08,2,True,1,False,新埔,Xinpu,新埔站出口2,Xinpu Exit 2,121.468176,25.0222,wsqqk54kv,3,新埔
BL08,3,True,2,False,新埔,Xinpu,新埔站出口3,Xinpu Exit 3,121.468574,25.022844,wsqqk568w,3,新埔
BL08,4,True,1,True,新埔,Xinpu,新埔站出口4,Xinpu Exit 4,121.468728,25.023638,wsqqk56v6,3,新埔
BL08,5,True,1,True,新埔,Xinpu,新埔站出口5,Xinpu Exit 5,121.468138,25.024163,wsqqk5d2k,3,新埔
BL09,1,True,2,False,江子翠,Jiangzicui,江子翠站出口1,Jiangzicui Exit 1,121.471914,25.030298,wsqqkhthh,3,江子翠
BL09,2,False,1,False,江子翠,Jiangzicui,江子翠站出口2,Jiangzicui Exit 2,121.471903,25.029782,wsqqkht1h,3,江子翠
BL09,3,False,1,True,江子翠,Jiangzicui,江子翠站出口3,Jiangzicui Exit 3,121.472156,25.029459,wsqqkhmr4,3,江子翠
BL09,4,True,2,False,江子翠,Jiangzicui,江子翠站出口4,Jiangzicui Exit 4,121.472719,25.029763,wsqqkht8z,3,江子翠
BL09,5,True,2,False,江子翠,Jiangzicui,江子翠站出口5,Jiangzicui Exit 5,121.473609,25.031027,wsqqkhy2k,3,江子翠
BL09,6,True,2,False,江子翠,Jiangzicui,江子翠站出口6,Jiangzicui Exit 6,121.473126,25.031095,wsqqkhy08,3,江子翠
BL10,1,True,1,True,龍山寺,Longshan Temple,龍山寺站出口1,Longshan Temple Exit 1,121.49953,25.035484,wsqqkv962,3,龍山寺
BL10,2,True,1,False,龍山寺,Longshan Temple,龍山寺站出口2,Longshan Temple Exit 2,121.499798,25.035109,wsqqkv92n,3,龍山寺
BL10,3,True,0,False,龍山寺,Longshan Temple,龍山寺站出口3,Longshan Temple Exit 3,121.501622,25.035421,wsqqkvdcb,3,龍山寺
BL11,1,True,1,False,西門,Ximen,西門站出口1,Ximen Exit 1,121.507566,25.042137,wsqqkyz15,3,西門
BL11,2,True,0,False,西門,Ximen,西門站出口2,Ximen Exit 2,121.508435,25.041545,wsqqkyxtx,3,西門
BL11,3,True,1,False,西門,Ximen,西門站出口3,Ximen Exit 3,121.508888,25.041789,wsqqmn8nf,3,西門
BL11,4,True,1,True,西門,Ximen,西門站出口4,Ximen Exit 4,121.509006,25.042203,wsqqmnb1m,3,西門
BL11,5,True,0,False,西門,Ximen,西門站出口5,Ximen Exit 5,121.508789,25.042935,wsqqkyzvx,3,西門
BL11,6,True,1,True,西門,Ximen,西門站出口6,Ximen Exit 6,121.507602,25.042573,wsqqkyz5s,3,西門
BL12,,True,0,False,台北車站,Taipei Main Station,台北車站M6,Taipei Main Station Exit M6,121.516787,25.046234,wsqqmptbf,3,台北車站
BL12,,False,1,False,台北車站,Taipei Main Station,台北車站M5,Taipei Main Station Exit M5,121.516246,25.046755,wsqqmpt7v,3,台北車站
BL12,,False,1,False,台北車站,Taipei Main Station,台北車站M3,Taipei Main Station Exit M3,121.517882,25.046337,wsqqmpw97,3,台北車站
BL12,,True,2,False,台北車站,Taipei Main Station,台北車站M1,Taipei Main Station Exit M1,121.518193,25.048232,wsqqmpyue,3,台北車站
BL12,,False,1,True,台北車站,Taipei Main Station,台北車站M4,Taipei Main Station Exit M4,121.517345,25.046485,wsqqmpw4r,3,台北車站
BL12,,False,1,False,台北車站,Taipei Main Station,台北車站M8,Taipei Main Station Exit M8,121.517479,25.045948,wsqqmpqr4,3,台北車站
BL12,,True,1,True,台北車站,Taipei Main Station,台北車站M2,Taipei Main Station Exit M2,121.519067,25.048064,wsqqmpz7x,3,台北車站
BL12,,True,0,False,台北車站,Taipei Main Station,台北車站M7,Taipei Main Station Exit M7,121.518643,25.046077,wsqqmprpv,3,台北車站
BL13,1,True,2,False,善導寺,Shandao Temple,善導寺站出口1,Shandao Temple Exit 1,121.523009,25.045097,wsqqmr667,3,善導寺
BL13,2,True,0,False,善導寺,Shandao Temple,善導寺站出口2,Shandao Temple Exit 2,121.523053,25.044796,wsqqmr62s,3,善導寺
BL13,3,True,1,True,善導寺,Shandao Temple,善導寺站出口3,Shandao Temple Exit 3,121.523734,25.044568,wsqqmr4zh,3,善導寺
