StationID,StationAddress,BikeAllowOnHoliday,LocationCity,LocationCityCode,StationName_Zh_tw,StationName_En,StationPosition_PositionLon,StationPosition_PositionLat,StationPosition_GeoHash,VersionID,station_join_key
BL01,236040新北市土城區中央路4段51之6號B3,True,新北市,NWT,頂埔,Dingpu,121.4205,24.96012,wsqmfzzen,4,頂埔
BL02,236036新北市土城區中央路3段105號B1,True,新北市,NWT,永寧,Yongning,121.43613,24.96682,wsqq53546,4,永寧
BL03,236017新北市土城區金城路1段105號B1,True,新北市,NWT,土城,Tucheng,121.44432,24.97313,wsqq5d1p1,4,土城
BL04,236023新北市土城區海山路39號B2,True,新北市,NWT,海山,Haishan,121.44873,24.985305,wsqq5skmb,4,海山
BL05,220056新北市板橋區南雅南路2段17號B1,True,新北市,NWT,亞東醫院,Far Eastern Hospital,121.452465,24.99828,wsqq5wycx,4,亞東醫院
BL06,220052新北市板橋區縣民大道1段193號B1,True,新北市,NWT,府中,Fuzhong,121.459276,25.008465,wsqq7beuy,4,府中
BL07,220073新北市板橋區站前路5號B1,True,新北市,NWT,板橋,Banqiao,121.462305,25.013825,wsqq7cwhh,4,BL板橋
BL08,220030新北市板橋區民生路3段2號B1,True,新北市,NWT,新埔,Xinpu,121.468055,25.02327,wsqqk5674,4,新埔
BL09,220016新北市板橋區文化路2段296號B1,True,新北市,NWT,江子翠,Jiangzicui,121.47257,25.030265,wsqqkhteu,4,江子翠
BL10,108015臺北市萬華區西園路1段153號,True,臺北市,TPE,龍山寺,Longshan Temple,121.500325,25.03528,wsqqkv9c4,4,龍山寺
BL11,100005臺北市中正區寶慶路32之1號B1,True,臺北市,TPE,西門,Ximen,121.508175,25.042025,wsqqkyz83,4,西門
BL12,100009臺北市中正區忠孝西路1段49號,False,臺北市,TPE,台北車站,Taipei Main Station,121.517415,25.04631,wsqqmpw32,4,台北車站
BL13,100024臺北市中正區忠孝東路1段58號B1,True,臺北市,TPE,善導寺,Shandao Temple,121.523885,25.04468,wsqqmr4zz,4,善導寺
BL14,106083臺北市大安區新生南路1段67號,True,臺北市,TPE,忠孝新生,Zhongxiao Xinsheng,121.53321,25.042498,wsqqmwcg1,4,忠孝新生
BL15,106071臺北市大安區忠孝東路4段47號,False,臺北市,TPE,忠孝復興,Zhongxiao Fuxing,121.545026,25.041749,wsqqmydqu,4,忠孝復興
BL16,106057臺北市大安區忠孝東路4段182號,True,臺北市,TPE,忠孝敦化,Zhongxiao Dunhua,121.55045,25.041505,wsqqmywm6,4,忠孝敦化
BL17,110054臺北市信義區忠孝東路4段400號,True,臺北市,TPE,國父紀念館,Sun Yat-Sen Memorial Hall,121.557815,25.04137,wsqqqnesw,4,國父紀念館
BL18,110060臺北市信義區忠孝東路5段2號,True,臺北市,TPE,市政府,Taipei City Hall,121.565685,25.041135,wsqqqq97j,4,市政府
BL19,110037臺北市信義區忠孝東路5段455號,True,臺北市,TPE,永春,Yongchun,121.5762,25.040855,wsqqqw91d,4,永春
BL20,115025臺北市南港區忠孝東路6段2號,True,臺北市,TPE,後山埤,Houshanpi,121.58227,25.044715,wsqqqxm80,4,後山埤
BL21,115007臺北市南港區忠孝東路6段451號,True,臺北市,TPE,昆陽,Kunyang,121.593228,25.050459,wsqqwbm3x,4,昆陽
BL22,115011臺北市南港區忠孝東路7段380號,True,臺北市,TPE,南港,Nangang,121.60697,25.052035,wsqqx0x6x,4,南港
BL23,板南線：115021臺北市南港區研究院路1段1號,True,臺北市,TPE,南港展覽館,Taipei Nangang Exhibition Center,121.616861,25.054919,wsqqx3neq,4,南港展覽館
BR01,116016臺北市文山區新光路2段32號,False,臺北市,TPE,動物園,Taipei Zoo,121.579501,24.998205,wsqqnwg3p,4,動物園
BR02,116027臺北市文山區木柵路4段135號,False,臺北市,TPE,木柵,Muzha,121.573127,24.99824,wsqqnqyc7,4,木柵
BR03,116027臺北市文山區萬芳路60號,False,臺北市,TPE,萬芳社區,Wanfang Community,121.568088,24.99857,wsqqnqg5j,4,萬芳社區
BR04,116081臺北市文山區興隆路3段113號,False,臺北市,TPE,萬芳醫院,Wanfang Hospital,121.558092,24.99932,wsqqnngzs,4,萬芳醫院
BR05,116081臺北市文山區辛亥路4段128號,False,臺北市,TPE,辛亥,Xinhai,121.557046,25.005455,wsqqq055k,4,辛亥
BR06,106043臺北市大安區和平東路3段410號,False,臺北市,TPE,麟光,Linguang,121.558834,25.018495,wsqqq4krq,4,麟光
BR07,106039臺北市大安區和平東路3段168號,False,臺北市,TPE,六張犁,Liuzhangli,121.55302,25.02381,wsqqq52nq,4,六張犁
BR08,106101臺北市大安區復興南路2段235號,False,臺北市,TPE,科技大樓,Technology Building,121.543462,25.02612,wsqqmgc5x,4,科技大樓
BR09,106097臺北市大安區信義路4段2號,False,臺北市,TPE,大安,Daan,121.54237,25.033311,wsqqmv0mw,4,大安
BR10,106084臺北市大安區忠孝東路3段302號,False,臺北市,TPE,忠孝復興,Zhongxiao Fuxing,121.545026,25.041749,wsqqmydqu,4,忠孝復興
BR11,105020臺北市松山區南京東路3段253號,True,臺北市,TPE,南京復興,Nanjing Fuxing,121.544303,25.052044,wsqqtb9fe,4,南京復興
BR12,104079臺北市中山區復興北路376號,False,臺北市,TPE,中山國中,Zhongshan Junior High School,121.544215,25.06085,wsqqtf1y1,4,中山國中
BR13,105008臺北市松山區敦化北路338號,False,臺北市,TPE,松山機場,Songshan Airport,121.55201,25.062908,wsqqtfx6p,4,松山機場
BR14,104044臺北市中山區北安路534之1號,False,臺北市,TPE,大直,Dazhi,121.54679,25.07943,wsqqtvedm,4,大直
BR15,104051臺北市中山區北安路798號,False,臺北市,TPE,劍南路,Jiannan Rd.,121.555582,25.08483,wsqqwnd1d,4,劍南路
BR16,114066臺北市內湖區內湖路1段256號,False,臺北市,TPE,西湖,Xihu,121.567227,25.08216,wsqqwq4d1,4,西湖
BR17,114004臺北市內湖區內湖路1段663號,False,臺北市,TPE,港墘,Gangqian,121.57516,25.08007,wsqqwt8mf,4,港墘
BR18,114053臺北市內湖區文德路214號,False,臺北市,TPE,文德,Wende,121.584999,25.078455,wsqqwtrkx,4,文德
BR19,114049臺北市內湖區成功路4段186號,False,臺北市,TPE,內湖,Neihu,121.594363,25.083675,wsqqwyq6f,4,內湖
BR20,114041臺北市內湖區成功路5段11號,False,臺北市,TPE,大湖公園,Dahu Park,121.602214,25.083805,wsqqxnk5b,4,大湖公園
BR21,114046臺北市內湖區康寧路3段16號,False,臺北市,TPE,葫洲,Huzhou,121.607146,25.07271,wsqqxhre5,4,葫洲
BR22,114056臺北市內湖區康寧路3段235號,False,臺北市,TPE,東湖,Donghu,121.611535,25.067455,wsqqx76ud,4,東湖
BR23,115018臺北市南港區經貿二路183號,False,臺北市,TPE,南港軟體園區,Nangang Software Park,121.615,25.05992,wsqqx6j2d,4,南港軟體園區
BR24,文湖線：115018臺北市南港區南港路1段32號,False,臺北市,TPE,南港展覽館,Taipei Nangang Exhibition Center,121.616861,25.054919,wsqqx3neq,4,南港展覽館
G01,231039新北市新店區北宜路1段2號,True,新北市,NWT,新店,Xindian,121.53746,24.95761,wsqmvxkus,4,新店
G02,231634新北市新店區北新路1段295號,True,新北市,NWT,新店區公所,Xindian District Office,121.5413,24.96744,wsqqj9ptv,4,新店區公所
G03,231007新北市新店區北新路2段150號,True,新北市,NWT,七張,Qizhang,121.542985,24.97545,wsqqjf8us,4,七張
G04,23143新北市新店區北新路3段190號,False,新北市,NWT,大坪林,Dapinglin,121.54134,24.98272,wsqqjezwy,4,大坪林
G05,116056臺北市文山區羅斯福路6段216號,True,臺北市,TPE,景美,Jingmei,121.540697,24.992824,wsqqjtz1z,4,景美
G06,116060臺北市文山區羅斯福路5段214號,True,臺北市,TPE,萬隆,Wanlong,121.539008,25.001978,wsqqjxqp0,4,萬隆
G07,100046臺北市中正區羅斯福路4段64之1號B1,True,臺北市,TPE,公館,Gongguan,121.534358,25.014781,wsqqm9f9e,4,公館
G08,100043臺北市中正區羅斯福路3段126之5號B1,True,臺北市,TPE,台電大樓,Taipower Building,121.528143,25.020733,wsqqm6yh6,4,台電大樓
G09,100032臺北市中正區羅斯福路2段164之1號B1,True,臺北市,TPE,古亭,Guting,121.522868,25.026373,wsqqm7fm0,4,古亭
G10,100207臺北市中正區羅斯福路1段8之1號B1?,True,臺北市,TPE,中正紀念堂,Chiang Kai-Shek Memorial Hall,121.518273,25.032767,wsqqmjnfk,4,中正紀念堂
